bootstrap_sample,n_node,cv_loss
25,8,0.00294591793224677
25,9,0.0029454323409891787
25,10,0.0029448379100726926
25,11,0.0029444829143412932
25,12,0.0029443972456996165
25,13,0.002943971811972909
25,14,0.0029457207635198144
25,15,0.0029454126226326907
26,5,0.0030011605878511216
26,6,0.0030040892994146677
26,7,0.003001814592888403
26,8,0.003004008989223356
26,9,0.0029999506874015566
26,10,0.00299956011952708
26,11,0.0030014934182061768
26,12,0.003000750182329784
26,13,0.0030018296431564132
26,14,0.002998810054838514
26,15,0.00300160005660106
27,5,0.003020306603582392
27,6,0.003022019161550923
27,7,0.0030218090533087483
27,8,0.0030227757925072817
27,9,0.0030196922967392326
27,10,0.0030191830552471583
27,11,0.003020551944583422
27,12,0.0030191998987097613
27,13,0.0030203176066089686
27,14,0.003019285596150474
27,15,0.003021416364549037
28,5,0.002984147581241063
28,6,0.0029856148680711203
28,7,0.0029849349823151084
28,8,0.0029862782599085623
28,9,0.0029829111045321546
28,10,0.00298319335694092
28,11,0.0029835260852153324
28,12,0.0029842066346435574
28,13,0.0029837926827348746
28,14,0.0029835122868183766
28,15,0.0029838209840337615
29,5,0.00299355197837888
29,6,0.002993244349154997
29,7,0.0029935977512112366
29,8,0.002992684132126469
29,9,0.0029918786215670156
29,10,0.002991703352950427
29,11,0.0029925592199741106
29,12,0.0029913349238939115
29,13,0.002990623840118962
29,14,0.0029924589276429416
29,15,0.0029925550498539947
30,5,0.0029691607505877146
30,6,0.00297121208980135
30,7,0.002970197248521026
30,8,0.0029704657998094824
30,9,0.0029679407687782876
30,10,0.0029695104009581866
30,11,0.0029684178163632115
30,12,0.00296829652322522
30,13,0.002968897796309713
30,14,0.0029683594195451246
30,15,0.0029693309713413668
31,5,0.0029825140116311677
31,6,0.002983514759208339
31,7,0.0029826028467832546
31,8,0.002982474353283327
31,9,0.0029815882350966378
31,10,0.002982100794561728
31,11,0.0029814495773006536
31,12,0.002981556495113757
31,13,0.0029804019691949102
31,14,0.0029826530620546327
31,15,0.0029827308722157426
32,5,0.002948103406710917
32,6,0.002950273994457747
32,7,0.0029504796748523665
32,8,0.0029504994164697347
32,9,0.0029471689013667412
32,10,0.0029490567215052776
32,11,0.0029489629954874445
32,12,0.0029463540827979343
32,13,0.0029488768385770533
32,14,0.0029486939660132725
32,15,0.002949623633435102
33,5,0.002989983532045569
33,6,0.0029915534101403957
33,7,0.002990675319444762
33,8,0.0029913103332499602
33,9,0.0029871179432095817
33,10,0.0029897654395108888
33,11,0.0029888920549665634
33,12,0.002988744542246124
33,13,0.002988652858634035
33,14,0.0029884032820178745
33,15,0.002989659803469402
34,5,0.002995703647619419
34,6,0.00299695820780612
34,7,0.0029968335269259312
34,8,0.002998326319116966
34,9,0.0029939950133833484
34,10,0.0029947982926422597
34,11,0.0029962174154407398
34,12,0.0029939462736515224
34,13,0.002996511828308888
34,14,0.0029944202913166555
34,15,0.002997659596793358
35,5,0.0029870688046369116
35,6,0.0029894822237588733
35,7,0.0029879694982479048
35,8,0.002989275009037384
35,9,0.0029857859877948
35,10,0.002986813796341087
35,11,0.002986591876095881
35,12,0.002986599036242651
35,13,0.0029867347510487167
35,14,0.0029859231625926535
35,15,0.002988218948263254
36,5,0.002957012061282848
36,6,0.0029582979668438146
36,7,0.002957872684719493
36,8,0.002956766323231667
36,9,0.002953943719599143
36,10,0.0029558665932888544
36,11,0.0029563376390673583
36,12,0.002954410502090327
36,13,0.0029555162894132647
36,14,0.002954617330298117
36,15,0.002956278341849452
37,5,0.0029123818870130905
37,6,0.0029147357477950046
37,7,0.0029147428192260586
37,8,0.0029149905585415725
37,9,0.0029108978261594776
37,10,0.0029142279858871173
37,11,0.002912119194518067
37,12,0.00291052836259402
37,13,0.002911602072929574
37,14,0.002912478078336966
37,15,0.0029129365496916013
38,5,0.0029257296535619417
38,6,0.0029276468866165084
38,7,0.0029282866518889885
38,8,0.0029284983606543678
38,9,0.0029242040402277
38,10,0.0029264633042001657
38,11,0.0029268174782957454
38,12,0.0029241672123081998
38,13,0.0029257516970911455
38,14,0.0029261478358878546
38,15,0.002928413051478087
39,5,0.0029390985538197177
39,6,0.002942045601860462
